codeUniq,designation,region,turnover,seller
411A106,AEROMECA,ZAGHOUANE,11 804.860,houssem.trabelsi@amt.tn
411A136,ASTUPLAST,ZAGHOUANE,0.000,houssem.trabelsi@amt.tn
411A141,STE ALUMINIUM LAUFEN TUNIS,BEN AROUS,6 724.620,houssem.trabelsi@amt.tn
411A142,ACTIA,ARIANA,0.000,houssem.trabelsi@amt.tn
411A146,ALVA TUNISIA,ARIANA,358.440,houssem.trabelsi@amt.tn
411A151,ASI,ARIANA,0.000,houssem.trabelsi@amt.tn
411A58,AERO TUNISIA,ZAGHOUANE,8 721.510,houssem.trabelsi@amt.tn
411A65,PLASTEEL TUNISIE,BEN AROUS,0.000,houssem.trabelsi@amt.tn
411A80,AL-ZA SARL,BEJA,264.630,houssem.trabelsi@amt.tn
411A81,ALZA SARL,BEJA,264.630,houssem.trabelsi@amt.tn
