codeUniq,designation,region,turnover,seller
411A106,AEROMECA,ZAGHOUANE,"11 804,860",houssem.trabelsi@amt.tn
411A136,ASTUPLAST,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411A141,STE ALUMINIUM LAUFEN TUNIS,BEN AROUS,"6 724,620",houssem.trabelsi@amt.tn
411A142,ACTIA,ARIANA,"0,000",houssem.trabelsi@amt.tn
411A146,ALVA TUNISIA,ARIANA,"358,440",houssem.trabelsi@amt.tn
411A151,ASI,ARIANA,"0,000",houssem.trabelsi@amt.tn
411A58,AERO TUNISIA,ZAGHOUANE,"8 721,510",houssem.trabelsi@amt.tn
411A65,PLASTEEL TUNISIE,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411A80,AL-ZA SARL,BEJA,"264,630",houssem.trabelsi@amt.tn
411B063,BIFECTA,MANOUBA,"0,000",houssem.trabelsi@amt.tn
411B36,BAUD,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411B39,BIC BIZERTE,BIZERTE,"9 197,720",houssem.trabelsi@amt.tn
411B44,STE BNZ ENGINEERING TUNISIA,BEN AROUS,"5 070,390",houssem.trabelsi@amt.tn
411B54,BOUDRANT ,TUNIS,"2 100,000",houssem.trabelsi@amt.tn
411B57,BBM,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411C01,COMET SARL,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411C100,COMEM SARL,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411C103,CEMIA,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411C104,CFA MATEUR,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411C107,CSFM BORDJ CEDRIA,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411C109,STE CREATEC,BEN AROUS,"8 110,870",houssem.trabelsi@amt.tn
411C12,CHAUDRA,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411C129,CMR GROUP,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411C131,Centre de recherche militaire à la base d'El Aouina,TUNIS,"698,760",houssem.trabelsi@amt.tn
411C14,CPT,BIZERTE,"11 723,430",houssem.trabelsi@amt.tn
411C18,COMEC-USINAGE,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411C52,CSFM GROMBALIA,NABEUL,"0,000",houssem.trabelsi@amt.tn
411C60,STE COFICAB TUNISIE,MANOUBA,"0,000",houssem.trabelsi@amt.tn
411C69,STE CIMAS INDUSTRIE,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411C90,CFA BIZERTE,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411C91,CROWN MAGHREB CAN SA,TUNIS,"2 620,630",houssem.trabelsi@amt.tn
411C95,CIESSE MED,ZAGHOUANE,"13 037,170",houssem.trabelsi@amt.tn
411C99,CSFMI OUARDIA,TUNIS,"0,000",houssem.trabelsi@amt.tn
411D038,DYNACAST,TUNISIE,"0,000",houssem.trabelsi@amt.tn
411D29,STE DINEFER TUNISIE,MANOUBA,"7 680,450",houssem.trabelsi@amt.tn
411E27,EL FOULADH Tunisienne de Sidérurgie,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411E38,ENIS,SFAX,"0,000",houssem.trabelsi@amt.tn
411E39,ENIB,BIZERTE,"0,000",houssem.trabelsi@amt.tn
411E43,ENIT,TUNIS,"0,000",houssem.trabelsi@amt.tn
411E44,ENISO,SOUSSE,"0,000",houssem.trabelsi@amt.tn
411E53,STE ECFM SUARL,ZAGHOUANE,"0,000",houssem.trabelsi@amt.tn
411E65,ENSIT,TUNIS,"0,000",houssem.trabelsi@amt.tn
411E66,ECOLE NATIONALE D'INGENIEUR DE CART,TUNIS,"0,000",houssem.trabelsi@amt.tn
411F37,FRANKISCHE Tunisie S.A.R.L.,BEN AROUS,"1 305,240",houssem.trabelsi@amt.tn
411F41,FONDINOR,ZAGHOUANE,"242,240",houssem.trabelsi@amt.tn
411H41,"STE HAMMAMI BEST HARDWARE ""HBH""",ZAGHOUANE,"863,960",houssem.trabelsi@amt.tn
411I11,ISET SFAX,SFAX,"0,000",houssem.trabelsi@amt.tn
411I15,ISET RADES,BEN AROUS,"0,000",houssem.trabelsi@amt.tn
411I21,IBL ELECTRONICS TUNISIA,BIZERTE,"0,000",houssem.trabelsi@amt.tn
