codeUniq,designation,city,seller
411A106,AEROMECA,ZAGHOUANE,Houssem    Trabelsi
411A136,ASTUPLAST,ZAGHOUANE,Houssem    Trabelsi
411A141,STE ALUMINIUM LAUFEN TUNIS,BEN AROUS,Houssem    Trabelsi
411A142,ACTIA,ARIANA,Houssem    Trabelsi
411A146,ALVA TUNISIA,ARIANA,Houssem    Trabelsi
411A151,ASI,ARIANA,Houssem    Trabelsi
411A58,AERO TUNISIA,ZAGHOUANE,Houssem    Trabelsi
411A65,PLASTEEL TUNISIE,BEN AROUS,Houssem    Trabelsi
411A80,AL-ZA SARL,BEJA,Houssem    Trabelsi
411B36,BAUD,ZAGHOUANE,Houssem    Trabelsi
411B39,BIC BIZERTE,BIZERTE,Houssem    Trabelsi
411B44,STE BNZ ENGINEERING TUNISIA,BEN AROUS,Houssem    Trabelsi
411B54,BOUDRANT ,TUNIS,Houssem    Trabelsi
411B57,BBM,TUNISIE,Houssem    Trabelsi
411B63,BIFECTA,MANOUBA,Houssem    Trabelsi
411C01,COMET SARL,BEN AROUS,Houssem    Trabelsi
411C100,COMEM SARL,BEN AROUS,Houssem    Trabelsi
411C103,CEMIA,BEN AROUS,Houssem    Trabelsi
411C107,CSFM BORDJ CEDRIA,BEN AROUS,Houssem    Trabelsi
411C109,STE CREATEC,BEN AROUS,Houssem    Trabelsi
411C12,CHAUDRA,BIZERTE,Houssem    Trabelsi
411C129,CMR GROUP,BEN AROUS,Houssem    Trabelsi
411C131,Centre de recherche militaire à la base d'El Aouina,TUNIS,Houssem    Trabelsi
411C134,CSFMA EL KEF,KEF,Houssem    Trabelsi
411C135,CSFSOP de sousse,SOUSSE,Houssem    Trabelsi
411C14,CPT,BIZERTE,Houssem    Trabelsi
411C18,COMEC-USINAGE,BIZERTE,Houssem    Trabelsi
411C52,CSFM GROMBALIA,NABEUL,Houssem    Trabelsi
411C60,STE COFICAB TUNISIE,MANOUBA,Houssem    Trabelsi
411C69,STE CIMAS INDUSTRIE,BIZERTE,Houssem    Trabelsi
411C90,CFA BIZERTE,BIZERTE,Houssem    Trabelsi
411C91,CROWN MAGHREB CAN SA,TUNIS,Houssem    Trabelsi
411C95,CIESSE MED,ZAGHOUANE,Houssem    Trabelsi
411C99,CSFMI OUARDIA,TUNIS,Houssem    Trabelsi
411D038,DYNACAST,TUNISIE,Houssem    Trabelsi
411D29,STE DINEFER TUNISIE,MANOUBA,Houssem    Trabelsi
411E27,EL FOULADH Tunisienne de Sidérurgie,BIZERTE,Houssem    Trabelsi
411E38,ENIS,SFAX,Houssem    Trabelsi
411E39,ENIB,BIZERTE,Houssem    Trabelsi
411E43,ENIT,TUNIS,Houssem    Trabelsi
411E44,ENISO,SOUSSE,Houssem    Trabelsi
411E53,STE ECFM SUARL,ZAGHOUANE,Houssem    Trabelsi
411E65,ENSIT,TUNIS,Houssem    Trabelsi
411E66,ECOLE NATIONALE D'INGENIEUR DE CART,TUNIS,Houssem    Trabelsi
411F37,FRANKISCHE Tunisie S.A.R.L.,BEN AROUS,Houssem    Trabelsi
411F41,FONDINOR,ZAGHOUANE,Houssem    Trabelsi
411G66,GKMS,BEJA,Houssem    Trabelsi
411H41,"STE HAMMAMI BEST HARDWARE ""HBH""",ZAGHOUANE,Houssem    Trabelsi
411I11,ISET SFAX,SFAX,Houssem    Trabelsi
411I15,ISET RADES,BEN AROUS,Houssem    Trabelsi
411I21,IBL ELECTRONICS TUNISIA,BIZERTE,Houssem    Trabelsi
411I26,ISSAT SOUSSE,SOUSSE,Houssem    Trabelsi
411I27,ISET KELIBIA,NABEUL,Houssem    Trabelsi
411I29,INTERMETAL,BEN AROUS,Houssem    Trabelsi
411I35,"STE INDUS AERONAU TUNISIENNE ""IAT""",BIZERTE,Houssem    Trabelsi
411I42,ISET BIZERTE,BIZERTE,Houssem    Trabelsi
411I43,ISET BEJA,BEJA,Houssem    Trabelsi
411I45,ISET EL KEF,KEF,Houssem    Trabelsi
411I49,ISET SILIANA,SILIANA,Houssem    Trabelsi
411I50,ISET KASSERINE,KASSERINE,Houssem    Trabelsi
411I53,ISET KSAR HELLAL,MONASTIR,Houssem    Trabelsi
411I54,ISET SIDI BOUZID,SIDI BOUZID,Houssem    Trabelsi
411I56,STE INTEK,ZAGHOUANE,Houssem    Trabelsi
411I57,STE IBL PRODUCTION,BIZERTE,Houssem    Trabelsi
411K02,Technique de Construction Mécanique   TCM ,BEN AROUS,Houssem    Trabelsi
411K33,KROMBERG & SCHUBERT,TUNISIE,Houssem    Trabelsi
411K34,KASSAROCK,BEJA,Houssem    Trabelsi
411L12,"LA TUNISIE MECANIQUE ""LTM""",MANOUBA,Houssem    Trabelsi
411L17,LARISYS NORTH AFRICA,ARIANA,Houssem    Trabelsi
411L22,STE LM ENGINEERING,TUNIS,Houssem    Trabelsi
411L25,LECTRIC,ZAGHOUANE,Houssem    Trabelsi
411L30,LILA,ZAGHOUANE,Houssem    Trabelsi
411M06,MECANOPRECIS,BIZERTE,Houssem    Trabelsi
411M112,"MANUFACTORING AERONAUTIQUE P. ""MAP""",BEN AROUS,Houssem    Trabelsi
411M15,MECA FRERES,BIZERTE,Houssem    Trabelsi
