codeUniq,designation,city,seller
411A106,AEROMECA,ZAGHOUANE,houssem.trabelsi@amt.tn
411A136,ASTUPLAST,ZAGHOUANE,Houssem    Trabelsi
411A141,STE ALUMINIUM LAUFEN TUNIS,BEN AROUS,houssem.trabelsi@amt.tn
411A142,ACTIA,ARIANA,houssem.trabelsi@amt.tn
411A146,ALVA TUNISIA,ARIANA,houssem.trabelsi@amt.tn
411A151,ASI,ARIANA,houssem.trabelsi@amt.tn
411A58,AERO TUNISIA,ZAGHOUANE,houssem.trabelsi@amt.tn
411A65,PLASTEEL TUNISIE,BEN AROUS,houssem.trabelsi@amt.tn
411A80,AL-ZA SARL,BEJA,houssem.trabelsi@amt.tn
411B36,BAUD,ZAGHOUANE,houssem.trabelsi@amt.tn
411B39,BIC BIZERTE,BIZERTE,houssem.trabelsi@amt.tn
411B44,STE BNZ ENGINEERING TUNISIA,BEN AROUS,houssem.trabelsi@amt.tn
411B54,BOUDRANT ,TUNIS,houssem.trabelsi@amt.tn
411B57,BBM,TUNISIE,houssem.trabelsi@amt.tn
411B63,BIFECTA,MANOUBA,houssem.trabelsi@amt.tn
411C01,COMET SARL,BEN AROUS,houssem.trabelsi@amt.tn
411C100,COMEM SARL,BEN AROUS,houssem.trabelsi@amt.tn
411C103,CEMIA,BEN AROUS,houssem.trabelsi@amt.tn
411C107,CSFM BORDJ CEDRIA,BEN AROUS,houssem.trabelsi@amt.tn
411C109,STE CREATEC,BEN AROUS,houssem.trabelsi@amt.tn
411C12,CHAUDRA,BIZERTE,houssem.trabelsi@amt.tn
411C129,CMR GROUP,BEN AROUS,houssem.trabelsi@amt.tn
411C131,Centre de recherche militaire à la base d'El Aouina,TUNIS,houssem.trabelsi@amt.tn
411C134,CSFMA EL KEF,KEF,houssem.trabelsi@amt.tn
411C135,CSFSOP de sousse,SOUSSE,houssem.trabelsi@amt.tn
411C14,CPT,BIZERTE,houssem.trabelsi@amt.tn
411C18,COMEC-USINAGE,BIZERTE,houssem.trabelsi@amt.tn
411C52,CSFM GROMBALIA,NABEUL,houssem.trabelsi@amt.tn
411C60,STE COFICAB TUNISIE,MANOUBA,houssem.trabelsi@amt.tn
411C69,STE CIMAS INDUSTRIE,BIZERTE,houssem.trabelsi@amt.tn
411C90,CFA BIZERTE,BIZERTE,houssem.trabelsi@amt.tn
411C91,CROWN MAGHREB CAN SA,TUNIS,houssem.trabelsi@amt.tn
411C95,CIESSE MED,ZAGHOUANE,houssem.trabelsi@amt.tn
411C99,CSFMI OUARDIA,TUNIS,houssem.trabelsi@amt.tn
411D038,DYNACAST,TUNISIE,houssem.trabelsi@amt.tn
411D29,STE DINEFER TUNISIE,MANOUBA,houssem.trabelsi@amt.tn
